24, 120, 1078
36, 125, 1056
78, 151, 1102
89, 168, 1141
89, 168, 1141
72, 130, 1120
22, 79, 1133
-7, 54, 1169
-42, 77, 1197
-42, 77, 1197
-65, 128, 1229
-88, 160, 1150
-112, 176, 1189
-149, 165, 1285
-170, 152, 1352
-171, 135, 1406
-171, 135, 1406
-212, 73, 1461
-326, -49, 1473
-440, -201, 1459
-500, -283, 1417
-545, -347, 1241
-606, -338, 1038
-634, -296, 939
-623, -249, 779
-,-,-
-167, 207, 881
-165, 234, 899
-103, 206, 942
-103, 206, 942
-99, 168, 1004
-95, 115, 1049
-85, 64, 1050
-42, 70, 1066
5, 111, 1144
5, 111, 1144
23, 107, 1138
59, 102, 1160
135, 148, 1299
182, 220, 1358
182, 220, 1358
165, 245, 1294
114, 218, 1159
24, 171, 1112
-107, 99, 1128
-201, 45, 1195
-201, 45, 1195
-276, 10, 1312
-363, -23, 1416
-427, -78, 1546
-483, -176, 1589
-559, -283, 1431
-634, -408, 1361
-690, -536, 1283
-693, -573, 1144
-651, -472, 923
-599, -339, 628
-,-,-
-533, 243, 787
-515, 244, 801
-497, 226, 805
-473, 247, 760
-445, 255, 770
-406, 233, 817
-363, 203, 771
-363, 203, 771
-327, 171, 733
-300, 138, 743
-269, 154, 745
-221, 160, 848
-180, 174, 896
-141, 185, 938
-141, 185, 938
-113, 180, 1045
-75, 205, 1173
-28, 237, 1243
-1, 258, 1299
-8, 251, 1374
-8, 251, 1374
-58, 203, 1383
-122, 178, 1384
-206, 135, 1461
-305, 86, 1463
-407, 28, 1356
-509, -49, 1309
-620, -145, 1234
-688, -173, 1182
-688, -173, 1182
-739, -217, 1090
-773, -243, 924
-789, -260, 870
-780, -260, 761
-752, -229, 584
-702, -155, 409
-661, -88, 289
-625, 11, 236
-,-,-
-347, 192, 852
-347, 192, 852
-321, 195, 945
-292, 175, 1017
-272, 152, 984
-247, 149, 927
-200, 167, 914
-144, 189, 867
-144, 189, 867
-112, 141, 898
-97, 89, 979
-84, 80, 1084
-72, 81, 1076
-72, 81, 1124
-66, 93, 1124
-101, 86, 1226
-161, 71, 1277
-211, 88, 1257
-217, 133, 1322
-222, 159, 1382
-222, 159, 1382
-252, 160, 1447
-315, 96, 1488
-367, 73, 1455
-416, 73, 1391
-439, 52, 1373
-499, -76, 1241
-589, -256, 1053
-706, -379, 910
-776, -475, 859
-776, -475, 859
-786, -475, 655
-,-,-
-397, 271, 774
-393, 181, 920
-376, 177, 857
-372, 180, 712
-372, 180, 712
-329, 182, 797
-274, 131, 874
-209, 107, 812
-140, 113, 828
-79, 129, 902
-79, 129, 902
-35, 126, 1017
-21, 129, 1104
-17, 104, 1134
-26, 101, 1183
-32, 122, 1276
-58, 124, 1307
-58, 124, 1307
-104, 96, 1275
-140, 78, 1331
-185, 73, 1380
-197, 130, 1396
-229, 117, 1238
-252, 139, 1237
-290, 159, 1183
-290, 159, 1183
-325, 173, 1088
-380, 105, 1210
-424, 18, 1372
-449, -17, 1381
-509, -60, 1298
-580, -126, 1266
-629, -205, 1151
-666, -245, 871
-702, -264, 719
-706, -236, 600
-,-,-
-434, 232, 798
